Nombre,Tipo Fitness,Categoría Google,País,Ciudad,Zona Premium,Dirección,Teléfono,Sitio Web,Email,Rating,Nº Reseñas,Tamaño Estimado,Prioridad,Score Nexora (0-10),Tiene Web,Tiene Teléfono,Campaña,Mes Scraping,Google Maps URL
SIETE THE PLACE,Gimnasio,Gimnasio,Colombia,Envigado,Envigado,"Cra. 43A #174 No. 18 sur, Medellín, El Poblado, Medellín, Antioquia",+57 324 5353174,https://www.sietetheplace.com/,,5,184,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=SIETE%20THE%20PLACE&query_place_id=ChIJn0BXKwmDRo4RliojPhWnPmA
Laboratorio de Pilates – Ciudad del Río,Pilates,Centro de pilates,Colombia,Medellín,El Poblado,"Urbanización Bosque del Rio, Cra 43G #18 - 65 Local 11, Medellín, El Poblado, Medellín, Antioquia",+57 333 2868271,https://laboratoriodepilates.com/,,5,181,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Laboratorio%20de%20Pilates%20%E2%80%93%20Ciudad%20del%20R%C3%ADo&query_place_id=ChIJayVMg-QpRI4Rr6RXmof-7Oo
VIG Wellness - Tienda de Nutrición y Suplementos Deportivos,Otro,Tienda de vitaminas y suplementos,Colombia,Medellín,Laureles,"Centro Comercial Gran Plaza, Centro, Cl. 45 #53-50 Local 1026 Primer Piso, Medellín, La Candelaria, Medellín, Antioquia",+57 320 7977637,https://www.vigwellness.com/?utm_source=google&utm_medium=organic&utm_campaign=googlemybusiness,,5,181,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=VIG%20Wellness%20-%20Tienda%20de%20Nutrici%C3%B3n%20y%20Suplementos%20Deportivos&query_place_id=ChIJBVNmzAopRI4RNWqui63EsWo
YOGALAB Medellin I Yoga & Pilates,Pilates,Centro de pilates,Colombia,Medellín,El Poblado,"Edificio MIXA Open Community, Cra. 43E #5-106 Apto 1803, Medellín, El Poblado, Medellín, Antioquia",+57 300 7060626,https://www.yogalab.com.co/,,5,175,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=YOGALAB%20Medellin%20I%20Yoga%20%26%20Pilates&query_place_id=ChIJjT2Eh4KCRo4RrUWHXh-X-TQ
Centro de Fuerza Maxima,Gimnasio,Gimnasio,Argentina,Buenos Aires,Palermo,"Arévalo 1591, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",+54 11 5822-8556,https://www.instagram.com/centrofuerzamaxima?igsh=MTU3YzdvbzRiaWlybQ==,,5,146,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Centro%20de%20Fuerza%20Maxima&query_place_id=ChIJUaxPznO1vJURYJ6vKLVc4Eg
Magic Hands Deep Tissue Massage Medellín,Gimnasio,Masajista deportivo,Colombia,Medellín,El Poblado,"Local 1, Cra. 34 #8a-15 Oficina 104, Medellín, El Poblado, Medellín, Antioquia",+57 304 5713329,https://www.magichandsgroup.com/,,5,145,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Magic%20Hands%20Deep%20Tissue%20Massage%20Medell%C3%ADn&query_place_id=ChIJw3JJ-TYpRI4RdzN-8wzdPwI
Academia Santo Baile,Baile / Danza,Academia de baile,Colombia,Medellín,El Poblado,"calle 6a #29-129 torre 1 apto 603 urbanización miravalle poblado, Medellín, El Poblado, Medellín, Antioquia",+57 305 3264549,https://www.santobaile.com/,,5,140,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Academia%20Santo%20Baile&query_place_id=ChIJSdGViYKCRo4RJMiG8_pKSDU
Healthy Move | Entrenador Personal | Medellin,Otro,Entrenador personal,Colombia,Medellín,Laureles,"Cl 44 #77-46 Local 102, Medellín, Laureles, Medellín, Antioquia",+57 311 6153383,https://www.instagram.com/hm.entrenamiento?igsh=cnJxMzgzbnF4Z2Jr&utm_source=qr,,5,135,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Healthy%20Move%20%7C%20Entrenador%20Personal%20%7C%20Medellin&query_place_id=ChIJaecgAQgpRI4RNRsBrGqKWwQ
MAC-GYM,Gimnasio,Gimnasio,Colombia,Bogotá,Chapinero,"Cl. 30 #16-09, Bogotá, Bogotá",+57 601 2877462,,,4.5,135,Mediano,ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=MAC-GYM&query_place_id=ChIJy_9ADYOZP44RQ1dukr1Hx_A
Spa Eterea,Otro,Spa de día,Colombia,Medellín,El Poblado,"Cra. 37 #8 - 17, Medellín, El Poblado, Medellín, Antioquia",+57 314 5347616,https://eterea-spa.com/,,5,133,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Spa%20Eterea&query_place_id=ChIJUzmr-JgpRI4RJZTNa5rK3kw
Templo Hare Krishna,Otro,Restaurante,Colombia,Bogotá,Chapinero,"Ak. 14 6 sur #32-69, Bogotá, Bogotá",+57 313 2527085,,,4.7,133,Mediano,ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Templo%20Hare%20Krishna&query_place_id=ChIJ5-_HEoSZP44RjmXc2NfXdWs
FITNESSMANIA Gym & Bike - Tienda de Bicicletas,Otro,Almacén,Colombia,Medellín,Laureles,"Cra. 52 # 56-11, Medellín, La Candelaria, Medellín, Antioquia",+57 300 2753192,,,4.5,129,Mediano,ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=FITNESSMANIA%20Gym%20%26%20Bike%20-%20Tienda%20de%20Bicicletas&query_place_id=ChIJ5W7OhfsoRI4RMdGH3o-Zij0
X-MOVE Human Performance,Gimnasio,Médico especializado en medicina deportiva,Colombia,Medellín,Laureles,"Cra. 77B #48 140 Sector, Medellín, Laureles, Medellín, Antioquia",+57 310 6563022,https://xmovehumanperformance.com/,,5,128,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=X-MOVE%20Human%20Performance&query_place_id=ChIJhW8sLkkpRI4RB57wfBsFOWM
Hakuna CrossFit,Gimnasio,Gimnasio,Colombia,Envigado,Envigado,"Tv. 33 Sur #31D 02, Envigado, Antioquia",+57 2764249,,,4.9,121,Mediano,ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Hakuna%20CrossFit&query_place_id=ChIJQTb3xlCCRo4RECl2kNmPLWQ
AnimalX Centro,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cra. 51 #41-155, Medellín, La Candelaria, Medellín, Antioquia",+57 324 5993911,,,4.9,120,Mediano,ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=AnimalX%20Centro&query_place_id=ChIJefMsQKUpRI4R5t5LIGx0LhM
CrossFit BullBox Ciudad del Río,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cra 43G #25a-50, Medellín, El Poblado, Medellín, Antioquia",+57 304 6312767,https://taplink.cc/bullboxcrossfit?fbclid=PAAabLgWUwk4G8PRul_qyaS-17-12xhrbBnAhKX3r6n0CAjvAv1rpfvO-qY1E,,5,120,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=CrossFit%20BullBox%20Ciudad%20del%20R%C3%ADo&query_place_id=ChIJUVX0kpIpRI4R7mO7419_YFk
Yoga Nueva Cordoba | Buen Dharma,Yoga,Centro de yoga,Argentina,Córdoba,Nueva Córdoba,"Buenos Aires 1490 Planta baja - Local E, Córdoba, Córdoba",+54 351 769-5639,https://buendharma.tribu.yoga/,,5,118,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Yoga%20Nueva%20Cordoba%20%7C%20Buen%20Dharma&query_place_id=ChIJGbjKNySjMpQROaFDq03itj0
424 GYM,Gimnasio,Gimnasio,México,Ciudad de México,Polanco,"Av Observatorio 420, Miguel Hidalgo, Ciudad de México, Cd. de México",+52 55 6305 2390,,,4.4,115,Mediano,ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=424%20GYM&query_place_id=ChIJ5042RsEB0oURmTbcIWLTCxQ
Impetu Centro de Entrenamiento Personal - Medellín,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cl. 45 #79-193 Interior 401, Medellín, La América, Medellín, Antioquia",+57 320 7598584,https://impetuentrenamiento.com/,,5,113,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Impetu%20Centro%20de%20Entrenamiento%20Personal%20-%20Medell%C3%ADn&query_place_id=ChIJM-0gTw4pRI4RcW-0qgeOA8k
Lepie,Gimnasio,Gimnasio,Colombia,Medellín,El Poblado,"Cl 10 #30 30, Medellín, El Poblado, Medellín, Antioquia",+57 42662219,,,4.3,112,Mediano,ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Lepie&query_place_id=ChIJK019AScoRI4RSgQ4y995ApE
B Color Spa,Gimnasio,Spa y gimnasio,Colombia,Envigado,Envigado,"Tv. 32 Sur #Diagonal #33-05, Envigado, Antioquia",+57 317 4349901,,,4.9,111,Mediano,ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=B%20Color%20Spa&query_place_id=ChIJn4V_PVCCRo4RXeWeoitQ4kE
Massage Bogota | Natalia Ruiz,Otro,Masajista,Colombia,Bogotá,Chapinero,"Kr 13 #32-33, Bogotá, Cundinamarca",+57 313 8772082,https://masajesbogota.dondeseria.com/,,5,106,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Massage%20Bogota%20%7C%20Natalia%20Ruiz&query_place_id=ChIJr-9GEgCZP44RpedlFJsIkHo
Escuadrón CrossFit Reforma,Gimnasio,Centro deportivo,México,Ciudad de México,Polanco,"Londres 104, Cuauhtémoc, Ciudad de México, Cd. de México",+52 55 6167 0508,,,4.6,106,Mediano,ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Escuadr%C3%B3n%20CrossFit%20Reforma&query_place_id=ChIJRfJMoTb_0YURB3lICJyOCto
STARK GYM,Gimnasio,Gimnasio,Argentina,Córdoba,Nueva Córdoba,"Ituzaingó 652, Córdoba, Córdoba",+54 9 351 815-0220,,,4.7,106,Mediano,ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=STARK%20GYM&query_place_id=ChIJa5Jn_0qjMpQR8CNU0Ir7XpU
Ruta by Leny,Gimnasio,Gimnasio,México,Ciudad de México,Polanco,"Monte Athos 139, Miguel Hidalgo, Ciudad de México, Cd. de México",+52 55 8027 4369,http://www.rutabyleny.com/,,5,102,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Ruta%20by%20Leny&query_place_id=ChIJ1UphSJ0B0oURRv_ifVavTjw
Dojo Box Medellín,Gimnasio,Gimnasio,Colombia,Medellín,El Poblado,"Edificio Triangle, Cl. 13 #34 - 31 Local 406, Medellín, El Poblado, Medellín, Antioquia",+57 301 5025912,https://dojo.com.co/,,5,98,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Dojo%20Box%20Medell%C3%ADn&query_place_id=ChIJ58YV3RcpRI4RfGKy5riTdFE
ActiveStetic,Gimnasio,Gimnasio,Colombia,Medellín,El Poblado,"centro comercial Vizcaya, Cl 10 #32-115 Local 131, Medellín, El Poblado, Medellín, Antioquia",+57 324 6510570,https://www.activestetic.com/,,5,95,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=ActiveStetic&query_place_id=ChIJryXsQLcpRI4RW8dww3W_W4o
Gimnasio Megafit1,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cra. 99 #47E- 21, Medellín, San Javier, Medellín, Antioquia",+57 301 4851203,,,4.7,94,Mediano,ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Gimnasio%20Megafit1&query_place_id=ChIJyYLwQXspRI4RoEHtG-5Cmtc
Titanium center GYM,Gimnasio,Gimnasio,Colombia,Bogotá,Chapinero,"Cra. 21 #50-40, Bogotá, Bogotá",+57 302 8326872,,,4.7,89,Mediano,ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Titanium%20center%20GYM&query_place_id=ChIJJQno4zOaP44RujwzvWTOeqw
Capitan Center,Gimnasio,Gimnasio,Argentina,Córdoba,Nueva Córdoba,"Obispo Salguero 738, Córdoba, Córdoba",+54 351 850-9819,https://instagram.com/capitan.center?igshid=YmMyMTA2M2Y=,,5,89,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Capitan%20Center&query_place_id=ChIJYV7qN4CjMpQRQBdV69F5j7Q
𝗘𝗫𝗣𝗥𝗘𝗦ARTE – ᴀᴄᴀᴅᴇᴍɪᴀ ᴅᴇ ʙᴀɪʟᴇ,Baile / Danza,Academia de baile,Argentina,Córdoba,Nueva Córdoba,"Brasil 155, Córdoba, Córdoba",+54 9 351 707-8608,,,4.7,89,Mediano,ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=%F0%9D%97%98%F0%9D%97%AB%F0%9D%97%A3%F0%9D%97%A5%F0%9D%97%98%F0%9D%97%A6ARTE%20%E2%80%93%20%E1%B4%80%E1%B4%84%E1%B4%80%E1%B4%85%E1%B4%87%E1%B4%8D%C9%AA%E1%B4%80%20%E1%B4%85%E1%B4%87%20%CA%99%E1%B4%80%C9%AA%CA%9F%E1%B4%87&query_place_id=ChIJTWjgdomiMpQR93YA2AYjmwY
Drishti Movimiento y Postura - Yoga y TPA,Yoga,Centro de yoga,Argentina,Córdoba,Nueva Córdoba,"Obispo Trejo 648, Córdoba, Córdoba",+54 351 396-6704,https://www.instagram.com/drishti.movimiento?igsh=eHdidHV6c3Zia3Z5,,5,89,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Drishti%20Movimiento%20y%20Postura%20-%20Yoga%20y%20TPA&query_place_id=ChIJMxpkcB6jMpQRn2EKVhyaCqQ
"KINESIOLOGIA Y FISIOTERAPIA ""COKE CORDOBA"" Nueva Córdoba Lic.Mariana Chacon MP 3785",Otro,Fisioterapeuta,Argentina,Córdoba,Nueva Córdoba,"Blvr. Chacabuco 843, Córdoba, Córdoba",+54 351 363-3597,https://www.instagram.com/coke.cordoba.consultorios?igsh=MW8yYTk5aGJ3dXY=,,5,89,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=KINESIOLOGIA%20Y%20FISIOTERAPIA%20%22COKE%20CORDOBA%22%20Nueva%20C%C3%B3rdoba%20Lic.Mariana%20Chacon%20MP%203785&query_place_id=ChIJM697XYWiMpQRTSTo6lrF5FY
EVG Training,Gimnasio,Gimnasio,Colombia,Envigado,Envigado,"Cl. 45 Sur #43a - 49, Envigado, Antioquia",+57 301 4784308,https://instagram.com/evgtraining,,5,86,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=EVG%20Training&query_place_id=ChIJz1Aq9WqDRo4RRG3jsXptd7o
Parque Cultural y Ambiental Otraparte.,Otro,Centro cultural,Colombia,Envigado,Envigado,"Cl. 27 Sur #No.43A-51, Envigado, Antioquia",+57 42162900 ext. 1842,,,4.7,85,Mediano,ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Parque%20Cultural%20y%20Ambiental%20Otraparte.&query_place_id=ChIJf0KGaryDRo4REKyqKORCDm8
Abaddon Performance Training,Gimnasio,Gimnasio,México,Ciudad de México,Polanco,"Av. Aquiles Serdán 106A, Miguel Hidalgo, Ciudad de México, Cd. de México",+52 55 2192 8755,,,4.7,85,Mediano,ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Abaddon%20Performance%20Training&query_place_id=ChIJERjPF6P40YURBJYlvvlCNME
Gimnasio CES,Gimnasio,Gimnasio,Colombia,Medellín,El Poblado,"Cl 10A #22-1, Medellín, El Poblado, Medellín, Antioquia",+57 44440555,,,4.8,84,Mediano,ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Gimnasio%20CES&query_place_id=ChIJn__UWiAoRI4RNqsJ142_hvg
Animalx Envigado,Gimnasio,Centro deportivo,Colombia,Envigado,Envigado,"Cl 38A Sur #46, Envigado, Antioquia",+57 316 4608950,,,4.7,84,Mediano,ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Animalx%20Envigado&query_place_id=ChIJuWoXVUmCRo4RxLLNuuXBKYM
101 Boxing Club,Artes Marciales,Escuela de boxeo,Colombia,Medellín,El Poblado,"Cra. 29d #7A-140, Medellín, El Poblado, Medellín, Antioquia",+57 301 4000694,,,4.6,80,Mediano,ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=101%20Boxing%20Club&query_place_id=ChIJU5wEOE6DRo4R1CNjIfMTSBY
GYMMAR BOSTON GYM,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cra. 39 #55-11, Medellín, La Candelaria, Medellín, Antioquia",+57 45033482,,,4.7,68,Mediano,ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=GYMMAR%20BOSTON%20GYM&query_place_id=ChIJQRo_GvYoRI4RI6qfXP3Yids
Motive Centro De Entrenamiento Funcional,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cl. 17 #83-10, Medellín, Belén, Medellín, Antioquia",+57 2941798,,,4.9,64,Mediano,ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Motive%20Centro%20De%20Entrenamiento%20Funcional&query_place_id=ChIJz0mXhjYpRI4RbKBDIvAL6Tc
Escuna Centro Deportivo,Gimnasio,Gimnasio,Colombia,Medellín,El Poblado,"Cl. 1 #32 - 93, Medellín, El Poblado, Medellín, Antioquia",+57 301 7508204,,,4.7,63,Mediano,ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Escuna%20Centro%20Deportivo&query_place_id=ChIJMQwlWYSCRo4R_SAZZfwDsOE
Marce Anahata - Centro de bienestar,Yoga,Centro de yoga,Colombia,Envigado,Envigado,"Cl. 23 Sur #42B-60, Envigado, Antioquia",+57 320 7329921,https://www.marceanahata.com/,,5,63,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Marce%20Anahata%20-%20Centro%20de%20bienestar&query_place_id=ChIJwy60W8KDRo4RcVENwfcpCqY
Semental gimnasio,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Cl. 51 #39-127 a 39-23, Medellín, La Candelaria, Medellín, Antioquia",+57 313 7721392,,,4.4,62,Mediano,ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Semental%20gimnasio&query_place_id=ChIJFcxHObApRI4RiZ3px0rdHtc
Inner Entrenamiento Integral,Gimnasio,Gimnasio,Colombia,Medellín,Laureles,"Carrera 70 #31 - 77 Belén, Medellín, Belén, Medellín, Antioquia",+57 302 3526401,https://www.instagram.com/somosinner/,,5,61,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Inner%20Entrenamiento%20Integral&query_place_id=ChIJ6w9P_sEpRI4RatpfcgnATiU
My Body - Recovery Center,Otro,Centro de salud y bienestar,Argentina,Buenos Aires,Palermo,"Fitz Roy 1545 PB A, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",+54 11 2570-2025,https://www.mybodyrecovery.ar/,,5,61,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=My%20Body%20-%20Recovery%20Center&query_place_id=ChIJYfxYFLK1vJURhqgGn0_MUUk
OficialFes,Otro,Entrenador personal,Argentina,Buenos Aires,Palermo,,+1 204-410-3913,http://www.oficialfes.com/,,5,61,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=OficialFes&query_place_id=ChIJp5Tjh-7n3g4RzDEymsC8mEw
Centro Cultural Goura Nitay,Otro,Centro cultural,Colombia,Bogotá,Chapinero,"Ak 14 #32-69, Bogotá, Bogotá",+57 313 2527085,,,4.4,56,Mediano,ALTA,10,No,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Centro%20Cultural%20Goura%20Nitay&query_place_id=ChIJG5knEoSZP44RnFlW0bm8y94
Selva Mariana Alegre- Yoga Palermo,Yoga,Centro de yoga,Argentina,Buenos Aires,Palermo,"El Salvador 5640, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",+54 9 11 6880-8008,https://yogaconselva.com/,,5,54,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Selva%20Mariana%20Alegre-%20Yoga%20Palermo&query_place_id=ChIJ_59pFHXKvJURJ2OoggRyBBY
Gurukul Yoga Studio Polanco,Yoga,Centro de yoga,México,Ciudad de México,Polanco,"Lafontaine 78, Miguel Hidalgo, Ciudad de México, Cd. de México",+52 55 2481 8201,https://gurukulyogastudio.com/,,5,54,Mediano,MEDIA,10,Sí,Sí,Gimnasios LATAM,Mayo 2026,https://www.google.com/maps/search/?api=1&query=Gurukul%20Yoga%20Studio%20Polanco&query_place_id=ChIJDS32f8oB0oUR97uERmoOrSU
