nombre,categoria,direccion,ciudad,pais,telefono,sitio_web,email,rating,total_reviews,google_maps_url,tiene_web,tiene_telefono,prioridad
UGG,Tienda de ropa,"Lomas de Santa Fe, Local 116 , Planta Baja, Cuajimalpa de Morelos, Ciudad de México, CDMX","Cuajimalpa de Morelos, Ciudad de México",MX,+52 55 9154 0317,,,4.5,57,https://www.google.com/maps/search/?api=1&query=UGG&query_place_id=ChIJcW2m8csA0oURy9eFY5FGGnw,No,Sí,ALTA
Mujer Virtuosa,Tienda de ropa de mujer,"Cl. 9 #20a-35 Piso 2, Bogotá, Cundinamarca",Bogotá,CO,+57 320 2205880,,,4.5,57,https://www.google.com/maps/search/?api=1&query=Mujer%20Virtuosa&query_place_id=ChIJkcqBiRKZP44RA-x2Ysi8dIs,No,Sí,ALTA
Joyería Libertad,Joyería,"Libertad 452, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,AR,+54 11 3701-9780,,,3.8,51,https://www.google.com/maps/search/?api=1&query=Joyer%C3%ADa%20Libertad&query_place_id=ChIJv9cp_cXKvJURKlvG-jmQUKI,No,Sí,ALTA
Zoom,Tienda de alimentación,"Av. Rivadavia 2309, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,AR,+54 9 11 6940-7302,,,4.1,49,https://www.google.com/maps/search/?api=1&query=Zoom&query_place_id=ChIJN8v0L-nKvJURQtz9wkp1WoE,No,Sí,ALTA
Artilleria La Vieja Guardia,Tienda de accesorios para automóviles,"Constituyente Héctor Victoria 161, Cuajimalpa de Morelos, Ciudad de México, Cd. de México","Cuajimalpa de Morelos, Ciudad de México",MX,+52 56 1150 2428,,,4.2,45,https://www.google.com/maps/search/?api=1&query=Artilleria%20La%20Vieja%20Guardia&query_place_id=ChIJayxyhcAH0oUR2O2FwWBOpak,No,Sí,ALTA
Maci Moda Y Accesorios,Tienda de ropa,"Cra 68 #98-24, Medellín, Castilla, Medellín, Antioquia","Medellín, Castilla, Medellín",CO,+57 300 8779962,,,4.9,44,https://www.google.com/maps/search/?api=1&query=Maci%20Moda%20Y%20Accesorios&query_place_id=ChIJNzoaR9UoRI4RXSLLGWAdmjQ,No,Sí,ALTA
Tienda BuenAura,Zapatería,"Cra. 65 #96-71, Medellín, Castilla, Medellín, Antioquia","Medellín, Castilla, Medellín",CO,+57 300 3103828,,,5,43,https://www.google.com/maps/search/?api=1&query=Tienda%20BuenAura&query_place_id=ChIJ8YTFVMIvRI4RoKbgTZXYOyA,No,Sí,ALTA
Delamaria accesorios,Tienda de accesorios de moda,"Pasteur 497, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,AR,+54 11 2670-1675,,,4.9,41,https://www.google.com/maps/search/?api=1&query=Delamaria%20accesorios&query_place_id=ChIJyzbHkc_LvJURBLnZVLFw31w,No,Sí,ALTA
Boutique Dream's,Tienda de ropa de mujer,"Cl 17 Sur #22-50 a 22-98, Bogotá, Bogotá",Bogotá,CO,+57 313 2764729,,,4.2,41,https://www.google.com/maps/search/?api=1&query=Boutique%20Dream's&query_place_id=ChIJhf7HFTyZP44REWX042iIyh8,No,Sí,ALTA
Coyoacan a la Moda,Tienda de ropa,"Moctezuma 126, Coyoacán, Ciudad de México, Cd. de México","Coyoacán, Ciudad de México",MX,+52 56 3272 1545,,,5,37,https://www.google.com/maps/search/?api=1&query=Coyoacan%20a%20la%20Moda&query_place_id=ChIJ0egLjKb_0YURy1BEST6li_c,No,Sí,ALTA
BuuBu Baby,Tienda de ropa para bebés,"Cl. 9 Bis #19-68, Bogotá, Cundinamarca",Bogotá,CO,+57 319 2380274,,,4.2,37,https://www.google.com/maps/search/?api=1&query=BuuBu%20Baby&query_place_id=ChIJL4RXlw2ZP44Rfu8t-SGu4YY,No,Sí,ALTA
Julio,Tienda de ropa de mujer,"Prol. P.º de la Reforma 3800-153, Cuajimalpa de Morelos, Ciudad de México, Cd. de México","Cuajimalpa de Morelos, Ciudad de México",MX,+52 55 5005 2324,,,4.3,35,https://www.google.com/maps/search/?api=1&query=Julio&query_place_id=ChIJ9bzOkc4A0oURaF86QwEUr9g,No,Sí,ALTA
Creatio Circular,Tienda de ropa de mujer,"Paraguay 1329, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,AR,+54 11 6749-7153,,,5,29,https://www.google.com/maps/search/?api=1&query=Creatio%20Circular&query_place_id=ChIJhQTjQ77KvJUR6PBZQ6bR-K4,No,Sí,ALTA
Hackett Santa Fe,Tienda de ropa de hombre,"Vasco de Quiroga 3800-Local 1714, Cuajimalpa de Morelos, Ciudad de México, Cd. de México","Cuajimalpa de Morelos, Ciudad de México",MX,+52 55 5292 0426,,,4.5,28,https://www.google.com/maps/search/?api=1&query=Hackett%20Santa%20Fe&query_place_id=ChIJ_Y2SgcsA0oURJNdiHqZqzxc,No,Sí,ALTA
El Sanatorio de La Ropa,Taller de reparación de botas,"Juncal 1356, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,AR,+54 11 4816-5180,,,4,28,https://www.google.com/maps/search/?api=1&query=El%20Sanatorio%20de%20La%20Ropa&query_place_id=ChIJjUaXwLvKvJURP6F-mCyz7Yc,No,Sí,ALTA
"Accesorios, polarizados y película antiasalto",Tienda de accesorios para automóviles,"Carr. San Mateo Sta. Rosa, Cuajimalpa de Morelos, Ciudad de México, Cd. de México","Cuajimalpa de Morelos, Ciudad de México",MX,+52 55 2460 3625,,,5,25,https://www.google.com/maps/search/?api=1&query=Accesorios%2C%20polarizados%20y%20pel%C3%ADcula%20antiasalto&query_place_id=ChIJS0uHvykH0oURPI6yqDLykG4,No,Sí,ALTA
Top Moda,Tienda de accesorios de moda,"Larrea 370, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,AR,+54 11 3051-6268,,,4.5,24,https://www.google.com/maps/search/?api=1&query=Top%20Moda&query_place_id=ChIJr4HXRevKvJURWTUTpNHaGCA,No,Sí,ALTA
Cravall Femme,Tienda de ropa de mujer,"Av. Pres. Manuel Quintana 497, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,AR,+54 11 4804-3864,,,4.8,24,https://www.google.com/maps/search/?api=1&query=Cravall%20Femme&query_place_id=ChIJUSr4a6PKvJURuB0PmoCOHVg,No,Sí,ALTA
Aventura Ropa Infantil,Tienda de ropa infantil,"Cl. 71 #65-150 Local 1297, Medellín, Castilla, Medellín, Antioquia","Medellín, Castilla, Medellín",CO,+57 44199825,,,4.3,24,https://www.google.com/maps/search/?api=1&query=Aventura%20Ropa%20Infantil&query_place_id=ChIJNcb2tSEpRI4R4DipoeJwrzg,No,Sí,ALTA
Variedades infantiles Juan Camilo L.213,Tienda de ropa infantil,"Cl. 11 #10-57, Bogotá, Bogotá",Bogotá,CO,+57 313 3340128,,,4.6,21,https://www.google.com/maps/search/?api=1&query=Variedades%20infantiles%20Juan%20Camilo%20L.213&query_place_id=ChIJZ2sUuP-ZP44R38aaCSjtKGo,No,Sí,ALTA
"Tienda de accesorios para mujer, joyeria, bisutería| Rouse para ellas",Joyería mayorista,"Cl. 12 #10-41, Bogotá, Bogotá",Bogotá,CO,+57 322 4160254,,,4.9,20,https://www.google.com/maps/search/?api=1&query=Tienda%20de%20accesorios%20para%20mujer%2C%20joyeria%2C%20bisuter%C3%ADa%7C%20Rouse%20para%20ellas&query_place_id=ChIJRxQX7wmZP44RLji0bZRq7gY,No,Sí,ALTA
Moda Outlet Izazaga,Tienda de ropa,"José María Pino Suárez, Cuauhtémoc, Ciudad de México, Cd. de México","Cuauhtémoc, Ciudad de México",MX,+52 55 8188 8816,,,4.5,18,https://www.google.com/maps/search/?api=1&query=Moda%20Outlet%20Izazaga&query_place_id=ChIJbz5PyZf_0YURvGG6iTvkbHA,No,Sí,ALTA
Mundo accesorios E,Tienda de móviles,"41C-10sur, Cra. 79, Bogotá, Cundinamarca",Bogotá,CO,+57 310 7553164,,,5,18,https://www.google.com/maps/search/?api=1&query=Mundo%20accesorios%20E&query_place_id=ChIJtwvFxyefP44RYHAqy--0B84,No,Sí,ALTA
Accesorios Carvajal,Tienda de accesorios para automóviles,"Cra. 69b # 37B-05, Bogotá, Bogotá",Bogotá,CO,+57 318 3760246,,,4.9,17,https://www.google.com/maps/search/?api=1&query=Accesorios%20Carvajal&query_place_id=ChIJJ28eFrmeP44Rg0VlBMFvTqY,No,Sí,ALTA
Mil Pies tienda infantil,Tienda de ropa infantil,"Diagonal 48#53-20, Bogotá, Bogotá",Bogotá,CO,+57 312 4163230,,,4.2,16,https://www.google.com/maps/search/?api=1&query=Mil%20Pies%20tienda%20infantil&query_place_id=ChIJhV5FLP6fP44R5itI4mwBg10,No,Sí,ALTA
Oscar JOYERÍA Y RELOJERÍA,Joyería,"Av. José María Castorena 395, Cuajimalpa de Morelos, Ciudad de México, Cd. de México","Cuajimalpa de Morelos, Ciudad de México",MX,+52 55 2133 0906,,,4.7,15,https://www.google.com/maps/search/?api=1&query=Oscar%20JOYER%C3%8DA%20Y%20RELOJER%C3%8DA&query_place_id=ChIJkeaHHDoH0oURgbZxTI8jCsQ,No,Sí,ALTA
Súbito,Tienda de ropa de mujer,"Arenales 1602, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,AR,+54 11 4815-8733,,,4.9,15,https://www.google.com/maps/search/?api=1&query=S%C3%BAbito&query_place_id=ChIJy9mxxb3KvJURGM15NHU7AWs,No,Sí,ALTA
Moda y Estilo B&J,Tienda de ropa,"Eten 612C, Gustavo A. Madero, Ciudad de México, Cd. de México","Gustavo A. Madero, Ciudad de México",MX,+52 452 111 2092,,,4.8,14,https://www.google.com/maps/search/?api=1&query=Moda%20y%20Estilo%20B%26J&query_place_id=ChIJUYXSZq750YURgtWet5apzV4,No,Sí,ALTA
Dress & Shoes Arreglo de Calzado,Tienda de arreglos de ropa,"Arenales 1179, AAI, Cdad. Autónoma de Buenos Aires",AAI,AR,+54 11 4811-9700,,,3.9,14,https://www.google.com/maps/search/?api=1&query=Dress%20%26%20Shoes%20Arreglo%20de%20Calzado&query_place_id=ChIJ0YxJ6LnKvJURGJlKN3HC8TA,No,Sí,ALTA
PAUL BLANC,Tienda de colchas,"Av. Entre Ríos 579, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,AR,+54 11 2085-4365,,,4.9,14,https://www.google.com/maps/search/?api=1&query=PAUL%20BLANC&query_place_id=ChIJVUt_ndXLvJUR55qc2xXIIdU,No,Sí,ALTA
WILLDI,Tienda de ropa infantil,"Sabana Carrera 19 # 12-51, Local 204, Bogotá, Bogotá",Bogotá,CO,+57 12900550,,,4.5,14,https://www.google.com/maps/search/?api=1&query=WILLDI&query_place_id=ChIJiZDtzQyZP44RoFPfMUTWUu0,No,Sí,ALTA
De la paz petit zapatos,Tienda de ropa,"Uruguay 1281, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,AR,+54 11 4811-0263,,,4.9,13,https://www.google.com/maps/search/?api=1&query=De%20la%20paz%20petit%20zapatos&query_place_id=ChIJcagw6LvKvJURtibB2ZxXei4,No,Sí,ALTA
Shoes,Zapatero,"Arenales 3181, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,AR,+54 11 4822-7686,,,4.8,13,https://www.google.com/maps/search/?api=1&query=Shoes&query_place_id=ChIJlxx6poPKvJURKjlIqpopddE,No,Sí,ALTA
Maitos Fashion KIDS,Tienda de artículos para bebés,"Cra. 11 #11-57, Bogotá, Bogotá",Bogotá,CO,+57 311 2343495,,,4.5,13,https://www.google.com/maps/search/?api=1&query=Maitos%20Fashion%20KIDS&query_place_id=ChIJdyVHRRuZP44Rt5Fmz65C5xY,No,Sí,ALTA
Joyería y Relojería Chacón,Joyería,"Cra. 77A #69A-39, Bogotá, Bogotá",Bogotá,CO,+57 322 3644718,,,4.8,13,https://www.google.com/maps/search/?api=1&query=Joyer%C3%ADa%20y%20Relojer%C3%ADa%20Chac%C3%B3n&query_place_id=ChIJK4I_PkCbP44RrNBKkIWP0SU,No,Sí,ALTA
Moda Jesan,Tienda de ropa,"Marmoleria 281, Venustiano Carranza, Ciudad de México, Cd. de México","Venustiano Carranza, Ciudad de México",MX,+52 55 9031 7513,,,4.8,12,https://www.google.com/maps/search/?api=1&query=Moda%20Jesan&query_place_id=ChIJwWfDNVr50YURG2ofJ5GB_4M,No,Sí,ALTA
RAMS OFICIAL - Tienda de Ropa,Tienda de ropa de mujer,"Cra. 112A #74b 16, Bogotá, Bogotá",Bogotá,CO,+57 316 4511009,,,4.3,12,https://www.google.com/maps/search/?api=1&query=RAMS%20OFICIAL%20-%20Tienda%20de%20Ropa&query_place_id=ChIJ-0smix6DP44RQYgXyhN5NU8,No,Sí,ALTA
Cool Ropa Unisex,Tienda de ropa,"Cl 72 #70-35, Bogotá, Cundinamarca",Bogotá,CO,+57 311 5162574,,,4.3,12,https://www.google.com/maps/search/?api=1&query=Cool%20Ropa%20Unisex&query_place_id=ChIJ8acbPUObP44RjYbc4kWu1Rg,No,Sí,ALTA
Stylos Accesorios,Tienda de accesorios de moda,"Paraná 581, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,AR,+54 11 4374-0234,,,4.4,11,https://www.google.com/maps/search/?api=1&query=Stylos%20Accesorios&query_place_id=ChIJ-5sk2sbKvJUR3obrFDFVzKk,No,Sí,ALTA
HC ACCESORIOS,Joyería,"Cra. 28 #53a-36 Sur, San Vicente, Bogotá, Cundinamarca","San Vicente, Bogotá",CO,+57 311 2165143,,,5,11,https://www.google.com/maps/search/?api=1&query=HC%20ACCESORIOS&query_place_id=ChIJkWYgAgCfP44RU1CPApgJFyM,No,Sí,ALTA
perlas y accesorios,Tienda de accesorios de moda,"local 110, Cra. 52c #22 sur, Bogotá, Bogotá",Bogotá,CO,+57 17107307,,,4.4,11,https://www.google.com/maps/search/?api=1&query=perlas%20y%20accesorios&query_place_id=ChIJ182tZNqeP44RKCyfaIvqz08,No,Sí,ALTA
Ceballos Moda Urbana,Tienda de ropa,"Cra. 73 #94-83, Medellín, Doce de Octubre, Medellín, Antioquia","Medellín, Doce de Octubre, Medellín",CO,+57 302 4233455,,,5,11,https://www.google.com/maps/search/?api=1&query=Ceballos%20Moda%20Urbana&query_place_id=ChIJK9ymQt8vRI4RzLAEOleLucA,No,Sí,ALTA
Bebes Estrella,Tienda de ropa infantil,"Cl. 111FF #64-40, Medellín, Castilla, Medellín, Antioquia","Medellín, Castilla, Medellín",CO,+57 319 3252119,,,5,10,https://www.google.com/maps/search/?api=1&query=Bebes%20Estrella&query_place_id=ChIJXxGQxlIvRI4RrTgice0XdWo,No,Sí,ALTA
Belleza Moda,Tienda de ropa,"Av. Caseros 2905, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,AR,+54 11 4308-4005,,,4.2,9,https://www.google.com/maps/search/?api=1&query=Belleza%20Moda&query_place_id=ChIJU1pBsBHLvJURMG46mAirUXk,No,Sí,ALTA
Joyería Viviana,Joyería,"Cra. 77A #71b 32, Bogotá, Cundinamarca",Bogotá,CO,+57 310 3192469,,,5,9,https://www.google.com/maps/search/?api=1&query=Joyer%C3%ADa%20Viviana&query_place_id=ChIJragEZz-bP44RH0UYwg6L4xo,No,Sí,ALTA
MODA Y ESTILO OM,Tienda de ropa,"Cl. 28 Sur #51d-44, Bogotá, Bogotá",Bogotá,CO,+57 319 3465061,,,4.6,8,https://www.google.com/maps/search/?api=1&query=MODA%20Y%20ESTILO%20OM&query_place_id=ChIJVermc8GfP44RMmkTXpy6Pr8,No,Sí,ALTA
Junior fashion,Tienda de ropa infantil,"Cl. 11 #11-70, Bogotá, Cundinamarca",Bogotá,CO,+57 320 8107575,,,4,7,https://www.google.com/maps/search/?api=1&query=Junior%20fashion&query_place_id=ChIJyzaamQmZP44RCgsEY1EyOPY,No,Sí,ALTA
El Objeto De Mi Afecto Bolsas y Acessorios,Tienda de accesorios de moda,"Fray Bartolomé de las Casas, Álvaro Obregón, Ciudad de México, Cd. de México","Álvaro Obregón, Ciudad de México",MX,+52 55 2462 4006,,,4.3,6,https://www.google.com/maps/search/?api=1&query=El%20Objeto%20De%20Mi%20Afecto%20Bolsas%20y%20Acessorios&query_place_id=ChIJW6T9R7_5zYURB_H8Cd_BEfY,No,Sí,ALTA
Ropa para bebé Infantiles Andrea,Tienda de ropa para bebés,"Cl. 11 # 11 - 70, Bogotá, Cundinamarca",Bogotá,CO,+57 310 3042795,,,4.8,6,https://www.google.com/maps/search/?api=1&query=Ropa%20para%20beb%C3%A9%20Infantiles%20Andrea&query_place_id=ChIJK2MSnDKZP44RnE5ASa--rns,No,Sí,ALTA
Tendencias Rosy,Tienda de ropa de mujer,"Cl. 70 #108a-09, Bogotá, Cundinamarca",Bogotá,CO,+57 12287191,,,3.8,6,https://www.google.com/maps/search/?api=1&query=Tendencias%20Rosy&query_place_id=ChIJk5bu-aqcP44RiLWYgVgIKbs,No,Sí,ALTA
BASARI Joyería & Relojería,Joyería,"Avenida Carrera 68 # 75 A 50 CC Metrópolis Local 242, Segundo Piso, Bogotá, Cundinamarca",Bogotá,CO,+57 315 2071117,,,4.8,6,https://www.google.com/maps/search/?api=1&query=BASARI%20Joyer%C3%ADa%20%26%20Relojer%C3%ADa&query_place_id=ChIJU1L4CxybP44RSgdzFnjkcSQ,No,Sí,ALTA
SAHA JEWELS,Joyería,"Av. México 359-DEPTO 506D, Cuajimalpa de Morelos, Ciudad de México, Cd. de México","Cuajimalpa de Morelos, Ciudad de México",MX,+52 55 1602 0371,,,5,5,https://www.google.com/maps/search/?api=1&query=SAHA%20JEWELS&query_place_id=ChIJ3XKrsQ8H0oURPOvU5OSXbW0,No,Sí,ALTA
Tienda de Ropa,Tienda de ropa,"Arboledas #2-local 1, Álvaro Obregón, Ciudad de México, Cd. de México","Álvaro Obregón, Ciudad de México",MX,+52 55 6043 6162,,,4.6,5,https://www.google.com/maps/search/?api=1&query=Tienda%20de%20Ropa&query_place_id=ChIJXwgo1Vb_zYURrFZI_67_vbs,No,Sí,ALTA
CALLAO 769,Zapatería,"AAA, Av. Callao 769, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,AR,+54 11 3820-8749,,,5,5,https://www.google.com/maps/search/?api=1&query=CALLAO%20769&query_place_id=ChIJfShqjr_KvJURWwgQtifL5B4,No,Sí,ALTA
"Joyería y Relojería ""El Galardón""",Joyería,"Tv. 93a #80c-10, Bogotá, Bogotá",Bogotá,CO,+57 301 6762814,,,4.6,5,https://www.google.com/maps/search/?api=1&query=Joyer%C3%ADa%20y%20Relojer%C3%ADa%20%22El%20Galard%C3%B3n%22&query_place_id=ChIJi1MqqEybP44R_D8ix2wGv9A,No,Sí,ALTA
Adriana Siempre te calza bien,Tienda de botas,"Cra 68 #96-67, Medellín, Castilla, Medellín, Antioquia","Medellín, Castilla, Medellín",CO,+57 44771450,,,3.2,5,https://www.google.com/maps/search/?api=1&query=Adriana%20Siempre%20te%20calza%20bien&query_place_id=ChIJe2Ac-yovRI4RpSJXVGAuKEs,No,Sí,ALTA
Moda y Estilo Las David,Tienda de ropa de mujer,"Cl. 86 #47-28, Medellín, Aranjuez, Medellín, Antioquia","Medellín, Aranjuez, Medellín",CO,+57 301 3923388,,,4.8,5,https://www.google.com/maps/search/?api=1&query=Moda%20y%20Estilo%20Las%20David&query_place_id=ChIJnVxvfrEpRI4RIKpVSp7W5mg,No,Sí,ALTA
creaciones e innovaciones valitz,Tienda de ropa infantil,"Cdad., Milpa Alta, CDMX",Milpa Alta,MX,+52 55 1783 9083,,,4.8,4,https://www.google.com/maps/search/?api=1&query=creaciones%20e%20innovaciones%20valitz&query_place_id=ChIJPY2-SpUFzoURLOitZtiXk6k,No,Sí,ALTA
Xindra Artículos de Piel,Boutique,"Av. Veracruz 217, Cuajimalpa de Morelos, Ciudad de México, Cd. de México","Cuajimalpa de Morelos, Ciudad de México",MX,+52 55 1496 5448,,,4.8,4,https://www.google.com/maps/search/?api=1&query=Xindra%20Art%C3%ADculos%20de%20Piel&query_place_id=ChIJ39v0zcwH0oURX-GOGVdaFn0,No,Sí,ALTA
La boutique de Lore,Tienda de ropa,"Desierto de los Leones 52A, Álvaro Obregón, Ciudad de México, Cd. de México","Álvaro Obregón, Ciudad de México",MX,+52 55 8299 4060,,,5,4,https://www.google.com/maps/search/?api=1&query=La%20boutique%20de%20Lore&query_place_id=ChIJ8bzGJCT5zYURtFNK8YAHYtI,No,Sí,ALTA
Boutique nueva moda,Tienda de ropa para jóvenes,"Cl. 37 Sur #1a-37, Bogotá, Cundinamarca",Bogotá,CO,+57 319 7562195,,,5,4,https://www.google.com/maps/search/?api=1&query=Boutique%20nueva%20moda&query_place_id=ChIJ3YvEK42fP44RrVBqLIg3xkg,No,Sí,ALTA
Bucaramanga Moda Y Estilo,Tienda de ropa,"Cl. 64 Sur #36 -20, Bogotá, Bogotá",Bogotá,CO,+57 315 6477949,,,4.8,4,https://www.google.com/maps/search/?api=1&query=Bucaramanga%20Moda%20Y%20Estilo&query_place_id=ChIJ0VZX3RSfP44R8QCuvmrZWPk,No,Sí,ALTA
bellas y latinas boutique,Tienda de ropa,"82, Cra. 77A #70, Bogotá, Bogotá",Bogotá,CO,+57 54923688,,,4.8,4,https://www.google.com/maps/search/?api=1&query=bellas%20y%20latinas%20boutique&query_place_id=ChIJ2YdKZUCbP44RHm4Zg5xSVbE,No,Sí,ALTA
Samar Modas y Estilos,Tienda de ropa,"Tv. 94 #80A-33, Bogotá, Bogotá",Bogotá,CO,+57 12276860,,,4.5,4,https://www.google.com/maps/search/?api=1&query=Samar%20Modas%20y%20Estilos&query_place_id=ChIJbcgisEybP44RvBhgcIlVE38,No,Sí,ALTA
Pieton ropa y calzado,Tienda de ropa,"L 074, Cra 64A #78-580, Medellín, Castilla, Medellín, Antioquia","Medellín, Castilla, Medellín",CO,+57 42309755,,,5,4,https://www.google.com/maps/search/?api=1&query=Pieton%20ropa%20y%20calzado&query_place_id=ChIJIZ_U3NkoRI4Rz2syX_KNivM,No,Sí,ALTA
Distrito Moda Boutique,Boutique,"Progreso Nacional 176, Gustavo A. Madero, Ciudad de México, Cd. de México","Gustavo A. Madero, Ciudad de México",MX,+52 55 2310 7979,,,4,3,https://www.google.com/maps/search/?api=1&query=Distrito%20Moda%20Boutique&query_place_id=ChIJq6oOzCX40YURklBSYkYRaS4,No,Sí,ALTA
Modas Lu,Tienda de ropa,"Tláhuac, San Nicolás Tetelco, Cd. de México","Tláhuac, San Nicolás Tetelco",MX,+52 55 1234 5678,,,5,3,https://www.google.com/maps/search/?api=1&query=Modas%20Lu&query_place_id=ChIJFUBSBZEbzoURyTB-LQtHHIk,No,Sí,ALTA
Alexander&Charlotte by Alexa Hudson,Tienda de ropa infantil,"Av. Juárez 49-local 105A, Cuajimalpa de Morelos, Ciudad de México, Cd. de México","Cuajimalpa de Morelos, Ciudad de México",MX,+52 55 5084 9456,,,3.7,3,https://www.google.com/maps/search/?api=1&query=Alexander%26Charlotte%20by%20Alexa%20Hudson&query_place_id=ChIJeTvqpT8H0oURgJkBR1Tu3Yc,No,Sí,ALTA
