nombre,categoria,direccion,ciudad,pais,telefono,sitio_web,email,rating,total_reviews,google_maps_url,tiene_web,tiene_telefono,prioridad,mensaje_whatsapp
UGG,Tienda de ropa,"Lomas de Santa Fe, Local 116 , Planta Baja, Cuajimalpa de Morelos, Ciudad de México, CDMX","Cuajimalpa de Morelos, Ciudad de México",MX,+52 55 9154 0317,,,4.5,57,https://www.google.com/maps/search/?api=1&query=UGG&query_place_id=ChIJcW2m8csA0oURy9eFY5FGGnw,No,Sí,ALTA,"Hola 👋 Vi *UGG* en Google Maps.

¿Cuánto tiempo tiene su equipo respondiendo mensajes de ""¿tienen talla X?"" o ""¿les queda ese color?""?

En Nexora IA automatizamos eso — WhatsApp responde solo, con inventario en tiempo real y sin perder una venta.

¿quiere que le muestre cómo lo haríamos para *UGG*?"
Mujer Virtuosa,Tienda de ropa de mujer,"Cl. 9 #20a-35 Piso 2, Bogotá, Cundinamarca",Bogotá,CO,+57 320 2205880,,,4.5,57,https://www.google.com/maps/search/?api=1&query=Mujer%20Virtuosa&query_place_id=ChIJkcqBiRKZP44RA-x2Ysi8dIs,No,Sí,ALTA,"Hola 👋 Vi *Mujer Virtuosa* en Google Maps.

¿Cuánto tiempo tiene su equipo respondiendo mensajes de ""¿tienen talla X?"" o ""¿les queda ese color?""?

En Nexora IA automatizamos eso — WhatsApp responde solo, con inventario en tiempo real y sin perder una venta.

¿quiere que le muestre cómo lo haríamos para *Mujer Virtuosa*?"
Joyería Libertad,Joyería,"Libertad 452, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,AR,+54 11 3701-9780,,,3.8,51,https://www.google.com/maps/search/?api=1&query=Joyer%C3%ADa%20Libertad&query_place_id=ChIJv9cp_cXKvJURKlvG-jmQUKI,No,Sí,ALTA,"Hola 👋 Vi *Joyería Libertad* en Google Maps.

¿Cuántas consultas de precios y disponibilidad reciben por WhatsApp al día? Muchas joyerías pierden ventas fuera de horario porque no tienen respuestas automáticas.

En Nexora IA automatizamos la atención al cliente de tu negocio — responde 24/7, gestiona el catálogo y registra cada consulta.

¿querés ver cómo funcionaría para *Joyería Libertad*?"
Zoom,Tienda de alimentación,"Av. Rivadavia 2309, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,AR,+54 9 11 6940-7302,,,4.1,49,https://www.google.com/maps/search/?api=1&query=Zoom&query_place_id=ChIJN8v0L-nKvJURQtz9wkp1WoE,No,Sí,ALTA,"Hola 👋 Vi *Zoom* en Google Maps.

¿tenés sistema para responder consultas de clientes por WhatsApp automáticamente?

En Nexora IA ayudamos a negocios como tu tienda a automatizar la atención al cliente — respuestas al instante, seguimiento de pedidos y menos trabajo manual.

¿interesa una llamada corta para ver si te sirve?"
Artilleria La Vieja Guardia,Tienda de accesorios para automóviles,"Constituyente Héctor Victoria 161, Cuajimalpa de Morelos, Ciudad de México, Cd. de México","Cuajimalpa de Morelos, Ciudad de México",MX,+52 56 1150 2428,,,4.2,45,https://www.google.com/maps/search/?api=1&query=Artilleria%20La%20Vieja%20Guardia&query_place_id=ChIJayxyhcAH0oUR2O2FwWBOpak,No,Sí,ALTA,"Hola 👋 Vi *Artilleria La Vieja Guardia* en Google Maps.

Las tiendas de accesorios suelen perder clientes que preguntan por WhatsApp fuera del horario y no reciben respuesta a tiempo.

En Nexora IA configuramos un asistente que atiende 24/7, muestra el catálogo y agenda visitas — sin que usted tiene que estar pendiente del celular.

¿le interesa verlo en acción?"
Maci Moda Y Accesorios,Tienda de ropa,"Cra 68 #98-24, Medellín, Castilla, Medellín, Antioquia","Medellín, Castilla, Medellín",CO,+57 300 8779962,,,4.9,44,https://www.google.com/maps/search/?api=1&query=Maci%20Moda%20Y%20Accesorios&query_place_id=ChIJNzoaR9UoRI4RXSLLGWAdmjQ,No,Sí,ALTA,"Hola 👋 Vi *Maci Moda Y Accesorios* en Google Maps.

¿Cuánto tiempo tiene su equipo respondiendo mensajes de ""¿tienen talla X?"" o ""¿les queda ese color?""?

En Nexora IA automatizamos eso — WhatsApp responde solo, con inventario en tiempo real y sin perder una venta.

¿quiere que le muestre cómo lo haríamos para *Maci Moda Y Accesorios*?"
Tienda BuenAura,Zapatería,"Cra. 65 #96-71, Medellín, Castilla, Medellín, Antioquia","Medellín, Castilla, Medellín",CO,+57 300 3103828,,,5,43,https://www.google.com/maps/search/?api=1&query=Tienda%20BuenAura&query_place_id=ChIJ8YTFVMIvRI4RoKbgTZXYOyA,No,Sí,ALTA,"Hola 👋 Vi *Tienda BuenAura* en Google Maps.

¿Reciben muchas consultas de tallas y modelos por WhatsApp? Sé que responder uno por uno toma mucho tiempo.

En Nexora IA automatizamos esa atención — el cliente pregunta, el sistema responde con disponibilidad real, y usted tiene más tiempo para vender.

¿quiere ver cómo lo implementaríamos para *Tienda BuenAura*?"
Delamaria accesorios,Tienda de accesorios de moda,"Pasteur 497, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,AR,+54 11 2670-1675,,,4.9,41,https://www.google.com/maps/search/?api=1&query=Delamaria%20accesorios&query_place_id=ChIJyzbHkc_LvJURBLnZVLFw31w,No,Sí,ALTA,"Hola 👋 Vi *Delamaria accesorios* en Google Maps.

Las tiendas de accesorios suelen perder clientes que preguntan por WhatsApp fuera del horario y no reciben respuesta a tiempo.

En Nexora IA configuramos un asistente que atiende 24/7, muestra el catálogo y agenda visitas — sin que vos tenés que estar pendiente del celular.

¿interesa verlo en acción?"
Boutique Dream's,Tienda de ropa de mujer,"Cl 17 Sur #22-50 a 22-98, Bogotá, Bogotá",Bogotá,CO,+57 313 2764729,,,4.2,41,https://www.google.com/maps/search/?api=1&query=Boutique%20Dream's&query_place_id=ChIJhf7HFTyZP44REWX042iIyh8,No,Sí,ALTA,"Hola 👋 Vi *Boutique Dream's* en Google Maps.

¿Cuánto tiempo tiene su equipo respondiendo mensajes de ""¿tienen talla X?"" o ""¿les queda ese color?""?

En Nexora IA automatizamos eso — WhatsApp responde solo, con inventario en tiempo real y sin perder una venta.

¿quiere que le muestre cómo lo haríamos para *Boutique Dream's*?"
Coyoacan a la Moda,Tienda de ropa,"Moctezuma 126, Coyoacán, Ciudad de México, Cd. de México","Coyoacán, Ciudad de México",MX,+52 56 3272 1545,,,5,37,https://www.google.com/maps/search/?api=1&query=Coyoacan%20a%20la%20Moda&query_place_id=ChIJ0egLjKb_0YURy1BEST6li_c,No,Sí,ALTA,"Hola 👋 Vi *Coyoacan a la Moda* en Google Maps.

¿Cuánto tiempo tiene su equipo respondiendo mensajes de ""¿tienen talla X?"" o ""¿les queda ese color?""?

En Nexora IA automatizamos eso — WhatsApp responde solo, con inventario en tiempo real y sin perder una venta.

¿quiere que le muestre cómo lo haríamos para *Coyoacan a la Moda*?"
BuuBu Baby,Tienda de ropa para bebés,"Cl. 9 Bis #19-68, Bogotá, Cundinamarca",Bogotá,CO,+57 319 2380274,,,4.2,37,https://www.google.com/maps/search/?api=1&query=BuuBu%20Baby&query_place_id=ChIJL4RXlw2ZP44Rfu8t-SGu4YY,No,Sí,ALTA,"Hola 👋 Vi *BuuBu Baby* en Google Maps.

¿Cuánto tiempo tiene su equipo respondiendo mensajes de ""¿tienen talla X?"" o ""¿les queda ese color?""?

En Nexora IA automatizamos eso — WhatsApp responde solo, con inventario en tiempo real y sin perder una venta.

¿quiere que le muestre cómo lo haríamos para *BuuBu Baby*?"
Julio,Tienda de ropa de mujer,"Prol. P.º de la Reforma 3800-153, Cuajimalpa de Morelos, Ciudad de México, Cd. de México","Cuajimalpa de Morelos, Ciudad de México",MX,+52 55 5005 2324,,,4.3,35,https://www.google.com/maps/search/?api=1&query=Julio&query_place_id=ChIJ9bzOkc4A0oURaF86QwEUr9g,No,Sí,ALTA,"Hola 👋 Vi *Julio* en Google Maps.

¿Cuánto tiempo tiene su equipo respondiendo mensajes de ""¿tienen talla X?"" o ""¿les queda ese color?""?

En Nexora IA automatizamos eso — WhatsApp responde solo, con inventario en tiempo real y sin perder una venta.

¿quiere que le muestre cómo lo haríamos para *Julio*?"
Creatio Circular,Tienda de ropa de mujer,"Paraguay 1329, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,AR,+54 11 6749-7153,,,5,29,https://www.google.com/maps/search/?api=1&query=Creatio%20Circular&query_place_id=ChIJhQTjQ77KvJUR6PBZQ6bR-K4,No,Sí,ALTA,"Hola 👋 Vi *Creatio Circular* en Google Maps.

¿Cuánto tiempo tenés tu equipo respondiendo mensajes de ""¿tienen talla X?"" o ""¿les queda ese color?""?

En Nexora IA automatizamos eso — WhatsApp responde solo, con inventario en tiempo real y sin perder una venta.

¿querés que te muestre cómo lo haríamos para *Creatio Circular*?"
Hackett Santa Fe,Tienda de ropa de hombre,"Vasco de Quiroga 3800-Local 1714, Cuajimalpa de Morelos, Ciudad de México, Cd. de México","Cuajimalpa de Morelos, Ciudad de México",MX,+52 55 5292 0426,,,4.5,28,https://www.google.com/maps/search/?api=1&query=Hackett%20Santa%20Fe&query_place_id=ChIJ_Y2SgcsA0oURJNdiHqZqzxc,No,Sí,ALTA,"Hola 👋 Vi *Hackett Santa Fe* en Google Maps.

¿Cuánto tiempo tiene su equipo respondiendo mensajes de ""¿tienen talla X?"" o ""¿les queda ese color?""?

En Nexora IA automatizamos eso — WhatsApp responde solo, con inventario en tiempo real y sin perder una venta.

¿quiere que le muestre cómo lo haríamos para *Hackett Santa Fe*?"
El Sanatorio de La Ropa,Taller de reparación de botas,"Juncal 1356, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,AR,+54 11 4816-5180,,,4,28,https://www.google.com/maps/search/?api=1&query=El%20Sanatorio%20de%20La%20Ropa&query_place_id=ChIJjUaXwLvKvJURP6F-mCyz7Yc,No,Sí,ALTA,"Hola 👋 Vi *El Sanatorio de La Ropa* en Google Maps.

¿Reciben muchas consultas de tallas y modelos por WhatsApp? Sé que responder uno por uno toma mucho tiempo.

En Nexora IA automatizamos esa atención — el cliente pregunta, el sistema responde con disponibilidad real, y vos tenés más tiempo para vender.

¿querés ver cómo lo implementaríamos para *El Sanatorio de La Ropa*?"
"Accesorios, polarizados y película antiasalto",Tienda de accesorios para automóviles,"Carr. San Mateo Sta. Rosa, Cuajimalpa de Morelos, Ciudad de México, Cd. de México","Cuajimalpa de Morelos, Ciudad de México",MX,+52 55 2460 3625,,,5,25,https://www.google.com/maps/search/?api=1&query=Accesorios%2C%20polarizados%20y%20pel%C3%ADcula%20antiasalto&query_place_id=ChIJS0uHvykH0oURPI6yqDLykG4,No,Sí,ALTA,"Hola 👋 Vi *Accesorios, polarizados y película antiasalto* en Google Maps.

Las tiendas de accesorios suelen perder clientes que preguntan por WhatsApp fuera del horario y no reciben respuesta a tiempo.

En Nexora IA configuramos un asistente que atiende 24/7, muestra el catálogo y agenda visitas — sin que usted tiene que estar pendiente del celular.

¿le interesa verlo en acción?"
Top Moda,Tienda de accesorios de moda,"Larrea 370, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,AR,+54 11 3051-6268,,,4.5,24,https://www.google.com/maps/search/?api=1&query=Top%20Moda&query_place_id=ChIJr4HXRevKvJURWTUTpNHaGCA,No,Sí,ALTA,"Hola 👋 Vi *Top Moda* en Google Maps.

Las tiendas de accesorios suelen perder clientes que preguntan por WhatsApp fuera del horario y no reciben respuesta a tiempo.

En Nexora IA configuramos un asistente que atiende 24/7, muestra el catálogo y agenda visitas — sin que vos tenés que estar pendiente del celular.

¿interesa verlo en acción?"
Cravall Femme,Tienda de ropa de mujer,"Av. Pres. Manuel Quintana 497, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,AR,+54 11 4804-3864,,,4.8,24,https://www.google.com/maps/search/?api=1&query=Cravall%20Femme&query_place_id=ChIJUSr4a6PKvJURuB0PmoCOHVg,No,Sí,ALTA,"Hola 👋 Vi *Cravall Femme* en Google Maps.

¿Cuánto tiempo tenés tu equipo respondiendo mensajes de ""¿tienen talla X?"" o ""¿les queda ese color?""?

En Nexora IA automatizamos eso — WhatsApp responde solo, con inventario en tiempo real y sin perder una venta.

¿querés que te muestre cómo lo haríamos para *Cravall Femme*?"
Aventura Ropa Infantil,Tienda de ropa infantil,"Cl. 71 #65-150 Local 1297, Medellín, Castilla, Medellín, Antioquia","Medellín, Castilla, Medellín",CO,+57 44199825,,,4.3,24,https://www.google.com/maps/search/?api=1&query=Aventura%20Ropa%20Infantil&query_place_id=ChIJNcb2tSEpRI4R4DipoeJwrzg,No,Sí,ALTA,"Hola 👋 Vi *Aventura Ropa Infantil* en Google Maps.

¿Cuánto tiempo tiene su equipo respondiendo mensajes de ""¿tienen talla X?"" o ""¿les queda ese color?""?

En Nexora IA automatizamos eso — WhatsApp responde solo, con inventario en tiempo real y sin perder una venta.

¿quiere que le muestre cómo lo haríamos para *Aventura Ropa Infantil*?"
Variedades infantiles Juan Camilo L.213,Tienda de ropa infantil,"Cl. 11 #10-57, Bogotá, Bogotá",Bogotá,CO,+57 313 3340128,,,4.6,21,https://www.google.com/maps/search/?api=1&query=Variedades%20infantiles%20Juan%20Camilo%20L.213&query_place_id=ChIJZ2sUuP-ZP44R38aaCSjtKGo,No,Sí,ALTA,"Hola 👋 Vi *Variedades infantiles Juan Camilo L.213* en Google Maps.

¿Cuánto tiempo tiene su equipo respondiendo mensajes de ""¿tienen talla X?"" o ""¿les queda ese color?""?

En Nexora IA automatizamos eso — WhatsApp responde solo, con inventario en tiempo real y sin perder una venta.

¿quiere que le muestre cómo lo haríamos para *Variedades infantiles Juan Camilo L.213*?"
"Tienda de accesorios para mujer, joyeria, bisutería| Rouse para ellas",Joyería mayorista,"Cl. 12 #10-41, Bogotá, Bogotá",Bogotá,CO,+57 322 4160254,,,4.9,20,https://www.google.com/maps/search/?api=1&query=Tienda%20de%20accesorios%20para%20mujer%2C%20joyeria%2C%20bisuter%C3%ADa%7C%20Rouse%20para%20ellas&query_place_id=ChIJRxQX7wmZP44RLji0bZRq7gY,No,Sí,ALTA,"Hola 👋 Vi *Tienda de accesorios para mujer, joyeria, bisutería| Rouse para ellas* en Google Maps.

¿Cuántas consultas de precios y disponibilidad reciben por WhatsApp al día? Muchas joyerías pierden ventas fuera de horario porque no tienen respuestas automáticas.

En Nexora IA automatizamos la atención al cliente de su negocio — responde 24/7, gestiona el catálogo y registra cada consulta.

¿quiere ver cómo funcionaría para *Tienda de accesorios para mujer, joyeria, bisutería| Rouse para ellas*?"
Moda Outlet Izazaga,Tienda de ropa,"José María Pino Suárez, Cuauhtémoc, Ciudad de México, Cd. de México","Cuauhtémoc, Ciudad de México",MX,+52 55 8188 8816,,,4.5,18,https://www.google.com/maps/search/?api=1&query=Moda%20Outlet%20Izazaga&query_place_id=ChIJbz5PyZf_0YURvGG6iTvkbHA,No,Sí,ALTA,"Hola 👋 Vi *Moda Outlet Izazaga* en Google Maps.

¿Cuánto tiempo tiene su equipo respondiendo mensajes de ""¿tienen talla X?"" o ""¿les queda ese color?""?

En Nexora IA automatizamos eso — WhatsApp responde solo, con inventario en tiempo real y sin perder una venta.

¿quiere que le muestre cómo lo haríamos para *Moda Outlet Izazaga*?"
Mundo accesorios E,Tienda de móviles,"41C-10sur, Cra. 79, Bogotá, Cundinamarca",Bogotá,CO,+57 310 7553164,,,5,18,https://www.google.com/maps/search/?api=1&query=Mundo%20accesorios%20E&query_place_id=ChIJtwvFxyefP44RYHAqy--0B84,No,Sí,ALTA,"Hola 👋 Vi *Mundo accesorios E* en Google Maps.

¿tiene sistema para responder consultas de clientes por WhatsApp automáticamente?

En Nexora IA ayudamos a negocios como su tienda a automatizar la atención al cliente — respuestas al instante, seguimiento de pedidos y menos trabajo manual.

¿le interesa una llamada corta para ver si le sirve?"
Accesorios Carvajal,Tienda de accesorios para automóviles,"Cra. 69b # 37B-05, Bogotá, Bogotá",Bogotá,CO,+57 318 3760246,,,4.9,17,https://www.google.com/maps/search/?api=1&query=Accesorios%20Carvajal&query_place_id=ChIJJ28eFrmeP44Rg0VlBMFvTqY,No,Sí,ALTA,"Hola 👋 Vi *Accesorios Carvajal* en Google Maps.

Las tiendas de accesorios suelen perder clientes que preguntan por WhatsApp fuera del horario y no reciben respuesta a tiempo.

En Nexora IA configuramos un asistente que atiende 24/7, muestra el catálogo y agenda visitas — sin que usted tiene que estar pendiente del celular.

¿le interesa verlo en acción?"
Mil Pies tienda infantil,Tienda de ropa infantil,"Diagonal 48#53-20, Bogotá, Bogotá",Bogotá,CO,+57 312 4163230,,,4.2,16,https://www.google.com/maps/search/?api=1&query=Mil%20Pies%20tienda%20infantil&query_place_id=ChIJhV5FLP6fP44R5itI4mwBg10,No,Sí,ALTA,"Hola 👋 Vi *Mil Pies tienda infantil* en Google Maps.

¿Cuánto tiempo tiene su equipo respondiendo mensajes de ""¿tienen talla X?"" o ""¿les queda ese color?""?

En Nexora IA automatizamos eso — WhatsApp responde solo, con inventario en tiempo real y sin perder una venta.

¿quiere que le muestre cómo lo haríamos para *Mil Pies tienda infantil*?"
Oscar JOYERÍA Y RELOJERÍA,Joyería,"Av. José María Castorena 395, Cuajimalpa de Morelos, Ciudad de México, Cd. de México","Cuajimalpa de Morelos, Ciudad de México",MX,+52 55 2133 0906,,,4.7,15,https://www.google.com/maps/search/?api=1&query=Oscar%20JOYER%C3%8DA%20Y%20RELOJER%C3%8DA&query_place_id=ChIJkeaHHDoH0oURgbZxTI8jCsQ,No,Sí,ALTA,"Hola 👋 Vi *Oscar JOYERÍA Y RELOJERÍA* en Google Maps.

¿Cuántas consultas de precios y disponibilidad reciben por WhatsApp al día? Muchas joyerías pierden ventas fuera de horario porque no tienen respuestas automáticas.

En Nexora IA automatizamos la atención al cliente de su negocio — responde 24/7, gestiona el catálogo y registra cada consulta.

¿quiere ver cómo funcionaría para *Oscar JOYERÍA Y RELOJERÍA*?"
Súbito,Tienda de ropa de mujer,"Arenales 1602, Cdad. Autónoma de Buenos Aires, Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,AR,+54 11 4815-8733,,,4.9,15,https://www.google.com/maps/search/?api=1&query=S%C3%BAbito&query_place_id=ChIJy9mxxb3KvJURGM15NHU7AWs,No,Sí,ALTA,"Hola 👋 Vi *Súbito* en Google Maps.

¿Cuánto tiempo tenés tu equipo respondiendo mensajes de ""¿tienen talla X?"" o ""¿les queda ese color?""?

En Nexora IA automatizamos eso — WhatsApp responde solo, con inventario en tiempo real y sin perder una venta.

¿querés que te muestre cómo lo haríamos para *Súbito*?"
Moda y Estilo B&J,Tienda de ropa,"Eten 612C, Gustavo A. Madero, Ciudad de México, Cd. de México","Gustavo A. Madero, Ciudad de México",MX,+52 452 111 2092,,,4.8,14,https://www.google.com/maps/search/?api=1&query=Moda%20y%20Estilo%20B%26J&query_place_id=ChIJUYXSZq750YURgtWet5apzV4,No,Sí,ALTA,"Hola 👋 Vi *Moda y Estilo B&J* en Google Maps.

¿Cuánto tiempo tiene su equipo respondiendo mensajes de ""¿tienen talla X?"" o ""¿les queda ese color?""?

En Nexora IA automatizamos eso — WhatsApp responde solo, con inventario en tiempo real y sin perder una venta.

¿quiere que le muestre cómo lo haríamos para *Moda y Estilo B&J*?"
Dress & Shoes Arreglo de Calzado,Tienda de arreglos de ropa,"Arenales 1179, AAI, Cdad. Autónoma de Buenos Aires",AAI,AR,+54 11 4811-9700,,,3.9,14,https://www.google.com/maps/search/?api=1&query=Dress%20%26%20Shoes%20Arreglo%20de%20Calzado&query_place_id=ChIJ0YxJ6LnKvJURGJlKN3HC8TA,No,Sí,ALTA,"Hola 👋 Vi *Dress & Shoes Arreglo de Calzado* en Google Maps.

¿Cuánto tiempo tenés tu equipo respondiendo mensajes de ""¿tienen talla X?"" o ""¿les queda ese color?""?

En Nexora IA automatizamos eso — WhatsApp responde solo, con inventario en tiempo real y sin perder una venta.

¿querés que te muestre cómo lo haríamos para *Dress & Shoes Arreglo de Calzado*?"
